loan_id,no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
111,1, Not Graduate, Yes,7700000,19100000,10,355,11300000,4900000,21900000,6600000, Rejected
112,2, Not Graduate, No,8500000,32700000,18,471,12600000,9400000,33900000,12500000, Rejected
113,3, Graduate, Yes,6900000,16400000,4,787,11100000,6100000,26400000,3800000, Approved
114,2, Graduate, No,2600000,7800000,4,819,3100000,4300000,5700000,1500000, Approved
115,4, Graduate, Yes,9600000,21100000,6,809,16100000,9500000,34700000,8700000, Approved
116,0, Not Graduate, No,3200000,11300000,6,484,3500000,5500000,8500000,2100000, Rejected
117,4, Not Graduate, No,2900000,10400000,6,673,5100000,1700000,10600000,1700000, Approved
118,3, Graduate, Yes,7900000,21200000,18,695,13800000,10600000,21800000,4900000, Approved
119,4, Graduate, Yes,4600000,11000000,2,491,9000000,4000000,16100000,3500000, Rejected
120,3, Not Graduate, Yes,700000,1700000,8,733,1200000,800000,2400000,500000, Approved
121,3, Not Graduate, Yes,5900000,20600000,10,777,1900000,4600000,21200000,6400000, Approved
122,3, Not Graduate, Yes,8800000,34600000,8,386,14800000,16500000,18400000,6000000, Rejected
123,5, Not Graduate, Yes,3300000,7800000,16,632,8500000,500000,7100000,4900000, Approved
124,3, Graduate, Yes,900000,3500000,4,770,700000,0,2000000,600000, Rejected
125,3, Graduate, Yes,4100000,15500000,6,667,2800000,1600000,14700000,4000000, Approved
126,3, Not Graduate, Yes,4700000,17500000,8,585,1200000,3100000,9600000,4900000, Approved
127,3, Not Graduate, Yes,7000000,16200000,6,378,20000000,12600000,20300000,5500000, Rejected
128,5, Graduate, No,5700000,12900000,18,807,4100000,900000,18600000,5500000, Approved
129,2, Not Graduate, No,2100000,5100000,12,674,2200000,3200000,6400000,2400000, Approved
130,2, Not Graduate, No,8000000,29300000,4,600,16500000,13200000,29400000,6500000, Approved
131,0, Graduate, No,8400000,20600000,10,477,1500000,1500000,25000000,11900000, Rejected
132,1, Not Graduate, Yes,1900000,5000000,6,560,1000000,1900000,6300000,1400000, Approved
133,0, Not Graduate, Yes,4200000,16400000,20,539,9500000,2100000,11400000,3100000, Rejected
134,5, Graduate, No,2600000,9100000,8,852,3700000,700000,10300000,3300000, Approved
135,3, Not Graduate, No,3700000,8500000,20,853,8300000,5700000,7500000,4900000, Approved
136,3, Graduate, Yes,900000,2400000,10,489,800000,0,2800000,500000, Rejected
137,0, Graduate, No,9800000,38800000,8,652,23200000,19000000,29700000,5400000, Approved
138,3, Graduate, Yes,7400000,19600000,2,716,4100000,8900000,29100000,4200000, Approved
139,5, Not Graduate, No,9500000,22200000,20,352,24500000,0,30800000,7000000, Rejected
140,5, Graduate, Yes,3800000,14400000,2,345,3300000,800000,13000000,4700000, Approved
141,0, Graduate, No,8300000,19400000,18,649,2500000,16100000,24300000,11300000, Approved
142,2, Graduate, Yes,2800000,7400000,18,666,100000,2300000,6300000,3400000, Approved
143,5, Graduate, Yes,4200000,9400000,6,678,4700000,5500000,9900000,5700000, Approved
144,5, Not Graduate, No,5200000,12200000,20,513,13400000,2000000,16800000,5400000, Rejected
145,5, Graduate, No,9400000,27900000,4,870,1100000,200000,29500000,10400000, Approved
146,3, Graduate, No,8800000,20400000,8,483,3200000,11400000,28200000,11800000, Rejected
147,1, Not Graduate, No,7000000,23000000,10,886,14000000,3700000,26700000,3600000, Approved
148,4, Not Graduate, No,1700000,4000000,6,829,0,1600000,5200000,1700000, Approved
149,0, Not Graduate, No,1500000,4900000,12,651,1600000,2800000,4600000,800000, Approved
150,4, Not Graduate, No,2000000,4700000,18,733,3700000,3700000,7000000,2800000, Approved
151,5, Graduate, Yes,3900000,15500000,12,433,9500000,5400000,7900000,4600000, Rejected
152,1, Graduate, Yes,900000,3600000,14,713,1300000,1000000,1800000,1200000, Approved
153,3, Graduate, Yes,6800000,19900000,10,516,16000000,6000000,26000000,8500000, Rejected
154,4, Not Graduate, Yes,600000,1800000,8,417,1700000,700000,1800000,800000, Rejected
155,5, Not Graduate, No,4000000,13900000,6,530,6000000,5600000,12500000,6000000, Rejected
156,1, Not Graduate, Yes,3100000,11300000,14,824,3700000,6000000,11000000,4400000, Approved
157,3, Graduate, Yes,3600000,10700000,16,312,2300000,1600000,13100000,5200000, Rejected
158,0, Not Graduate, Yes,2900000,7600000,8,320,8000000,5600000,9600000,3100000, Rejected
159,1, Not Graduate, Yes,300000,1000000,10,431,400000,500000,900000,100000, Rejected
160,5, Not Graduate, Yes,8600000,28900000,8,516,9900000,1800000,30200000,6800000, Rejected
161,2, Not Graduate, Yes,3500000,12000000,14,476,1100000,6800000,12400000,2900000, Rejected
162,4, Graduate, Yes,2000000,6700000,12,633,100000,800000,4800000,2000000, Approved
163,3, Not Graduate, No,4900000,12900000,18,877,1800000,7000000,17900000,3300000, Approved
164,3, Not Graduate, No,1400000,4100000,8,455,3000000,1400000,2900000,2100000, Rejected
165,3, Graduate, No,9600000,19900000,14,452,4200000,16200000,28500000,6600000, Rejected
166,3, Not Graduate, No,6400000,24400000,4,483,7800000,2400000,19100000,4500000, Approved
167,2, Graduate, Yes,2200000,5100000,20,859,3800000,1200000,6400000,3100000, Approved
168,4, Graduate, Yes,5600000,14100000,14,696,9000000,9200000,16500000,6800000, Approved
169,2, Not Graduate, Yes,2400000,4900000,4,888,6400000,4300000,5100000,3400000, Approved
170,4, Graduate, No,3700000,13200000,4,802,9800000,2400000,12500000,4300000, Approved
171,4, Not Graduate, Yes,6400000,23500000,2,485,7300000,2700000,23600000,3900000, Approved
172,4, Graduate, Yes,4900000,17100000,6,612,1300000,7000000,19500000,5000000, Approved
173,2, Not Graduate, No,5700000,16400000,12,708,3700000,800000,15000000,4400000, Approved
174,0, Not Graduate, No,7800000,28800000,12,465,4700000,7500000,28800000,7400000, Rejected
175,5, Not Graduate, No,1800000,7000000,18,466,2600000,2100000,6000000,1900000, Rejected
176,3, Graduate, Yes,3200000,8600000,2,427,3900000,1800000,7100000,4700000, Rejected
177,3, Graduate, No,7900000,18300000,10,731,4200000,3400000,22200000,8400000, Approved
178,2, Not Graduate, No,6800000,23500000,12,341,19300000,11800000,14300000,8500000, Rejected
179,1, Graduate, Yes,3700000,12600000,10,424,5400000,1100000,14200000,4400000, Rejected
180,0, Graduate, No,2600000,5100000,14,678,500000,1200000,6000000,3100000, Approved
181,0, Not Graduate, No,2000000,7000000,6,666,0,1200000,4300000,1400000, Rejected
182,4, Not Graduate, Yes,5800000,13300000,14,742,16100000,9300000,16300000,7000000, Approved
183,2, Graduate, No,7300000,28700000,14,634,5900000,3800000,21200000,10800000, Approved
184,4, Not Graduate, No,3300000,9700000,14,782,2500000,0,10400000,2200000, Approved
185,5, Not Graduate, No,7600000,24100000,18,721,21900000,11500000,22900000,7200000, Approved
186,2, Not Graduate, No,8400000,26300000,4,419,22900000,7900000,29200000,6200000, Approved
187,1, Not Graduate, Yes,9000000,32200000,16,468,4500000,16400000,28600000,10900000, Rejected
188,3, Not Graduate, Yes,6800000,26900000,16,818,14700000,10400000,26300000,7300000, Approved
189,3, Not Graduate, Yes,6000000,12500000,18,851,14600000,5000000,16800000,5000000, Approved
190,1, Not Graduate, Yes,9400000,29800000,10,377,24100000,18500000,30900000,11700000, Rejected
191,0, Not Graduate, Yes,1000000,4000000,10,620,2400000,1300000,3700000,1100000, Approved
192,2, Not Graduate, Yes,3600000,12800000,18,814,8600000,4100000,10300000,4100000, Approved
193,5, Graduate, Yes,7700000,16800000,20,584,8600000,4800000,23400000,8000000, Approved
194,4, Graduate, Yes,9500000,23500000,14,380,22900000,6700000,25100000,7300000, Rejected
195,2, Not Graduate, Yes,5000000,17600000,20,465,6200000,5200000,16500000,5200000, Rejected
196,0, Not Graduate, No,500000,1800000,2,531,1300000,500000,1900000,700000, Approved
197,1, Graduate, Yes,8300000,32100000,16,814,18500000,2700000,28900000,7500000, Approved
198,2, Not Graduate, Yes,9300000,29000000,12,655,7900000,6800000,29900000,4900000, Approved
199,3, Not Graduate, No,2300000,7400000,2,682,6500000,2400000,7600000,2100000, Approved
200,1, Not Graduate, No,400000,1300000,6,695,200000,500000,800000,100000, Approved
201,5, Not Graduate, Yes,9400000,35300000,16,302,4100000,12500000,37000000,12900000, Rejected
202,5, Not Graduate, No,4300000,14500000,12,302,12500000,4300000,12500000,5100000, Rejected
203,0, Not Graduate, Yes,7200000,19800000,12,658,12700000,8100000,25000000,7300000, Approved
204,1, Graduate, No,1400000,5200000,12,730,2900000,0,3700000,700000, Approved
205,4, Not Graduate, Yes,2200000,8200000,14,737,5800000,2800000,8200000,1400000, Approved
206,0, Graduate, No,600000,1700000,2,621,400000,400000,2000000,200000, Approved
207,4, Graduate, Yes,700000,2700000,16,583,1100000,1200000,1400000,300000, Approved
208,2, Not Graduate, No,7100000,21500000,16,610,5800000,12100000,14200000,9300000, Approved
209,3, Graduate, Yes,5200000,15200000,16,650,1300000,5700000,13500000,4100000, Approved
210,5, Graduate, Yes,9200000,29400000,8,318,18000000,5900000,33800000,5400000, Rejected
211,3, Not Graduate, No,7500000,28300000,12,367,9200000,11300000,22700000,7000000, Rejected
212,5, Graduate, No,7100000,18900000,12,360,10700000,1100000,19800000,8500000, Rejected
213,1, Graduate, No,4100000,8400000,20,608,1400000,8000000,10000000,4400000, Approved
214,0, Graduate, Yes,800000,2100000,6,760,300000,100000,1600000,600000, Approved
215,0, Graduate, Yes,6100000,23300000,12,478,3800000,2300000,17700000,4900000, Rejected
216,4, Not Graduate, Yes,4000000,14500000,6,711,2400000,5700000,10900000,4100000, Approved
217,5, Graduate, No,5600000,18400000,8,386,11300000,6700000,11300000,5600000, Rejected
218,4, Graduate, Yes,3900000,11900000,10,855,10200000,4000000,10200000,2800000, Approved
219,0, Graduate, Yes,1100000,2800000,18,431,500000,300000,4300000,1400000, Rejected
220,2, Graduate, No,5500000,14800000,8,364,13000000,4500000,12600000,4500000, Rejected
221,4, Graduate, Yes,1100000,3600000,14,711,2500000,500000,3600000,600000, Approved
222,3, Graduate, No,9200000,36400000,18,669,3100000,12700000,30900000,12300000, Approved
223,4, Not Graduate, Yes,9300000,27500000,18,338,21500000,500000,34900000,6600000, Rejected
224,0, Graduate, Yes,6300000,21500000,8,629,600000,3400000,22000000,5200000, Approved
225,3, Graduate, Yes,1600000,5700000,4,707,3300000,2700000,6200000,2300000, Approved
226,3, Graduate, Yes,9500000,20600000,2,731,13400000,3800000,20700000,9200000, Approved
227,3, Not Graduate, No,4700000,16700000,12,775,4000000,1700000,17300000,3500000, Approved
228,2, Graduate, No,7700000,16700000,6,555,12900000,2900000,18100000,8500000, Approved
229,1, Not Graduate, Yes,3600000,10300000,12,536,6800000,500000,12200000,2700000, Rejected
230,0, Graduate, Yes,1400000,5100000,6,890,4100000,1900000,5200000,1900000, Approved
231,1, Graduate, Yes,8600000,27900000,20,415,12200000,14800000,27100000,7900000, Rejected
232,4, Not Graduate, No,9000000,29000000,16,590,4600000,15600000,29200000,12300000, Approved
233,4, Graduate, Yes,5400000,21500000,14,555,4300000,1500000,14300000,7500000, Approved
234,5, Graduate, Yes,8400000,17500000,12,620,15300000,13600000,26000000,5800000, Approved
235,1, Graduate, Yes,5400000,21400000,8,350,2600000,1000000,19700000,6800000, Rejected
236,0, Graduate, No,4400000,14700000,16,638,4000000,2700000,14400000,2700000, Approved
237,1, Graduate, Yes,3800000,10500000,12,710,1800000,6200000,12500000,2500000, Approved
238,3, Not Graduate, Yes,6100000,20900000,18,470,500000,8500000,18000000,7500000, Rejected
239,3, Not Graduate, Yes,8800000,28600000,10,775,5200000,5000000,32000000,9600000, Approved
240,3, Not Graduate, Yes,3600000,8600000,8,790,5400000,5900000,9800000,5200000, Approved
241,1, Not Graduate, Yes,700000,2700000,20,669,100000,1000000,2600000,500000, Approved
242,0, Graduate, Yes,5300000,15000000,2,900,1700000,2100000,21000000,5800000, Approved
243,4, Graduate, No,8300000,24900000,16,506,15400000,5600000,26700000,7000000, Rejected
244,3, Not Graduate, Yes,2500000,8800000,12,538,4900000,1800000,9100000,3300000, Rejected
245,3, Graduate, Yes,5400000,14400000,8,677,11000000,7900000,20800000,3100000, Approved
246,4, Graduate, No,1600000,4900000,8,685,3200000,2000000,3800000,1500000, Approved
247,2, Not Graduate, No,2400000,6200000,12,860,4900000,3700000,9500000,1100000, Approved
248,5, Not Graduate, No,6300000,14800000,6,608,16100000,10500000,21800000,5400000, Approved
249,4, Graduate, Yes,2500000,5300000,10,540,2300000,2800000,7100000,1700000, Rejected
250,0, Graduate, Yes,7500000,16800000,16,492,21500000,4800000,25400000,11100000, Rejected
251,3, Not Graduate, No,2900000,8500000,14,834,1200000,4500000,8800000,1800000, Approved
252,1, Not Graduate, No,300000,1100000,12,443,600000,400000,1200000,200000, Rejected
253,5, Not Graduate, No,2300000,5700000,18,329,5600000,3300000,4900000,2700000, Rejected
254,2, Not Graduate, Yes,2400000,5400000,12,739,300000,2500000,5000000,3000000, Approved
255,5, Graduate, Yes,9800000,30300000,6,867,20800000,16000000,30200000,7600000, Approved
256,2, Not Graduate, No,8100000,24800000,6,307,200000,4000000,31100000,10500000, Rejected
257,3, Graduate, No,6700000,15500000,18,492,2100000,2000000,26300000,9400000, Rejected
258,2, Graduate, No,4700000,12500000,14,375,1300000,6300000,10100000,5400000, Rejected
259,4, Graduate, Yes,8600000,19200000,4,868,20400000,1500000,32800000,9300000, Approved
260,4, Graduate, Yes,2000000,7200000,10,838,2500000,300000,7600000,1000000, Approved
261,2, Graduate, Yes,4100000,11200000,6,442,12200000,4100000,10000000,4500000, Rejected
262,1, Graduate, Yes,9900000,39500000,12,808,11800000,3700000,30200000,13500000, Approved
263,1, Not Graduate, Yes,3200000,9000000,20,372,2700000,2800000,7200000,3800000, Rejected
264,2, Graduate, No,5500000,19000000,4,597,1100000,4000000,18700000,5300000, Approved
265,0, Graduate, Yes,7800000,29100000,20,435,21100000,13000000,17300000,9700000, Rejected
266,4, Graduate, Yes,7900000,25900000,14,373,10900000,14300000,27700000,7600000, Rejected
267,2, Graduate, No,7300000,19100000,14,552,2000000,13400000,16800000,4000000, Approved
268,4, Not Graduate, Yes,3300000,10600000,8,465,500000,4400000,7300000,2800000, Rejected
269,2, Graduate, Yes,500000,1300000,4,427,1400000,500000,1800000,600000, Rejected
270,3, Not Graduate, No,8300000,24100000,14,823,5900000,700000,24000000,7700000, Approved
271,4, Not Graduate, Yes,7100000,27900000,10,328,9000000,13400000,26500000,7700000, Rejected
272,3, Graduate, Yes,9800000,28200000,12,721,15800000,6500000,21900000,9600000, Approved
273,0, Not Graduate, No,2400000,5000000,14,580,5900000,4400000,5500000,3200000, Approved
274,2, Graduate, No,4600000,13500000,16,587,7700000,5900000,10600000,5000000, Approved
275,5, Graduate, Yes,9900000,31800000,18,817,23400000,700000,32600000,11500000, Approved
276,4, Not Graduate, Yes,300000,1000000,20,655,0,100000,1100000,400000, Approved
277,5, Graduate, Yes,6900000,23900000,6,382,17100000,6900000,21500000,8900000, Rejected
278,2, Graduate, Yes,1700000,4300000,6,765,5000000,1500000,3400000,900000, Approved
279,4, Not Graduate, Yes,4300000,15000000,8,383,4700000,100000,9000000,4900000, Rejected
280,1, Graduate, No,5900000,15200000,2,547,17100000,2000000,14700000,3600000, Rejected
281,5, Not Graduate, Yes,8600000,26300000,10,843,23300000,9800000,18100000,11300000, Approved
282,0, Not Graduate, No,3600000,7800000,14,376,9800000,6900000,11900000,3000000, Rejected
283,3, Not Graduate, No,1400000,2700000,8,625,3100000,1800000,3400000,1000000, Approved
284,4, Not Graduate, Yes,6600000,22100000,6,887,3600000,3500000,19800000,4700000, Approved
285,5, Graduate, No,9800000,37600000,18,319,19200000,5100000,19900000,5100000, Rejected
286,1, Not Graduate, No,1900000,4900000,20,647,4100000,2100000,6800000,1700000, Approved
287,0, Graduate, No,6800000,18400000,2,791,4000000,900000,20200000,9900000, Approved
288,3, Not Graduate, Yes,9500000,22800000,6,319,200000,18800000,34100000,9400000, Rejected
289,5, Not Graduate, Yes,6200000,22200000,20,819,13500000,6600000,21700000,8700000, Approved
290,1, Graduate, Yes,5700000,12000000,4,415,15700000,900000,17300000,7400000, Rejected
291,2, Graduate, Yes,200000,500000,6,885,-100000,0,300000,200000, Rejected
292,1, Graduate, Yes,7100000,15200000,8,389,5900000,900000,24300000,5900000, Rejected
293,1, Graduate, Yes,9300000,27900000,12,600,2100000,4200000,29000000,6600000, Approved
294,3, Graduate, Yes,3900000,14000000,18,829,5200000,4000000,11600000,2700000, Approved
295,5, Graduate, Yes,3000000,11100000,12,441,8500000,2500000,7300000,2000000, Rejected
296,4, Not Graduate, No,4500000,9800000,16,895,9800000,8200000,13900000,5500000, Approved
297,0, Graduate, No,4700000,17500000,2,701,5400000,2300000,11700000,7000000, Approved
298,0, Graduate, No,8400000,17500000,18,411,13200000,5300000,31300000,10400000, Rejected
299,5, Graduate, Yes,1700000,5800000,4,583,2000000,1800000,6000000,2300000, Approved
300,2, Not Graduate, No,1900000,7500000,2,889,600000,1100000,7100000,2600000, Approved
301,5, Graduate, No,6800000,20500000,10,578,500000,11800000,27200000,3400000, Approved
302,3, Not Graduate, Yes,3600000,13200000,16,557,9800000,4000000,9900000,2100000, Approved
303,3, Not Graduate, Yes,9100000,24600000,2,741,8000000,4000000,35500000,13600000, Approved
304,5, Graduate, No,1100000,3800000,18,508,200000,1800000,2300000,900000, Rejected
305,5, Not Graduate, Yes,1100000,2800000,10,647,2700000,2000000,4300000,1400000, Approved
306,5, Graduate, No,800000,2200000,6,493,900000,500000,2800000,1000000, Rejected
307,4, Graduate, No,600000,1800000,6,851,100000,1100000,2100000,800000, Approved
308,3, Not Graduate, Yes,6200000,14600000,2,664,18300000,8400000,16800000,6600000, Approved
